question,target,answer,is_tenten,author,,date
Phạm vi hỗ trợ đối với chức năng Website Builder và chức năng WordPress Website Template trên trang quản trị cPanel?,chuc_nang_website_builder_va_chuc_nang_wordpress_website_template,"Website Builder và WordPress Website Template là 2 chức năng được TENTEN phát triển thêm và tích hợp vào trang quản trị Hosting cPanel nhằm hỗ trợ tốt nhất cho những khách hàng sử dụng Hosting tại TENTEN.\n \nVới 2 chức năng này, Quý khách có thể lựa chọn những mẫu giao diện được thiết kế sẵn (dành cho website công ty và website thương mại điện tử, shop bán hàng online) và tự động cài đặt với...\n<a href=""https://tenten.vn/faq/164-pham-vi-ho-tro-ky-thuat-doi-voi-chuc-nang-website-builder-va-chuc-nang-wordpress-website-template-tich-hop-tren-trang-quan-tri-hosting-cpanel"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/164-pham-vi-ho-tro-ky-thuat-doi-voi-chuc-nang-website-builder-va-chuc-nang-wor</a>",1,TungHV,,11/12/2018
hiện có chương trình giảm giá không?,chuong_trinh_khuyen_mai,Để biết chi tiết khuyến mại của TenTen vui lòng liên hệ hotline: 024.7108.9999 (bấm phím 0 - giờ hành chính)\nHoặc livechat trực tiếp với nhân viên kinh doanh tại mục: Gặp nhân viên kinh doanh.,1,MinhTH,,10/12/2018
hiện giờ có khuyến mãi nào không?,chuong_trinh_khuyen_mai,Để biết chi tiết khuyến mại của TenTen vui lòng liên hệ hotline: 024.7108.9999 (bấm phím 0 - giờ hành chính)\nHoặc livechat trực tiếp với nhân viên kinh doanh tại mục: Gặp nhân viên kinh doanh.,,MinhTH,,10/12/2018
Hiện tại có khuyến mại nào không em?,chuong_trinh_khuyen_mai,Để biết chi tiết khuyến mại của TenTen vui lòng liên hệ hotline: 024.7108.9999 (bấm phím 0 - giờ hành chính)\nHoặc livechat trực tiếp với nhân viên kinh doanh tại mục: Gặp nhân viên kinh doanh.,,MinhTH,,10/12/2018
cho mình hỏi về chương trình khuyến mãi của bên bạn,chuong_trinh_khuyen_mai,Để biết chi tiết khuyến mại của TenTen vui lòng liên hệ hotline: 024.7108.9999 (bấm phím 0 - giờ hành chính)\nHoặc livechat trực tiếp với nhân viên kinh doanh tại mục: Gặp nhân viên kinh doanh.,,MinhTH,,10/12/2018
chương trình khuyến mãi,chuong_trinh_khuyen_mai,Để biết chi tiết khuyến mại của TenTen vui lòng liên hệ hotline: 024.7108.9999 (bấm phím 0 - giờ hành chính)\nHoặc livechat trực tiếp với nhân viên kinh doanh tại mục: Gặp nhân viên kinh doanh.,,ManhBV,,
chương trình giảm giá,chuong_trinh_khuyen_mai,Để biết chi tiết khuyến mại của TenTen vui lòng liên hệ hotline: 024.7108.9999 (bấm phím 0 - giờ hành chính)\nHoặc livechat trực tiếp với nhân viên kinh doanh tại mục: Gặp nhân viên kinh doanh.,,ManhBV,,
đợt này có chương trình khuyến mại gì không em,chuong_trinh_khuyen_mai,Để biết chi tiết khuyến mại của TenTen vui lòng liên hệ hotline: 024.7108.9999 (bấm phím 0 - giờ hành chính)\nHoặc livechat trực tiếp với nhân viên kinh doanh tại mục: Gặp nhân viên kinh doanh.,,ManhBV,,
có chương trình khuyến mãi nào không bạn,chuong_trinh_khuyen_mai,Để biết chi tiết khuyến mại của TenTen vui lòng liên hệ hotline: 024.7108.9999 (bấm phím 0 - giờ hành chính)\nHoặc livechat trực tiếp với nhân viên kinh doanh tại mục: Gặp nhân viên kinh doanh.,,ManhBV,,
khuyến mại,chuong_trinh_khuyen_mai,Để biết chi tiết khuyến mại của TenTen vui lòng liên hệ hotline: 024.7108.9999 (bấm phím 0 - giờ hành chính)\nHoặc livechat trực tiếp với nhân viên kinh doanh tại mục: Gặp nhân viên kinh doanh.,,MinhTH,,10/12/2018
Minh muốn chuyển domain qua ben tenten,chuyen_domain,"Để transfer tên miền từ nhà quản lý khác sang TenTen, Quý khách vui lòng yêu cầu nhà quản lý cũ cung cấp mã authecode của tên miền, đồng thời yêu cầu nhà quản lý cũ unlock, bỏ ẩn whois cho tên miền đó để TenTen tiến hành quá trình tranfer tên miền. Quý khách gửi thông tin tên miền đến email: <a href=""mailto:info@tenten.vn"">info@tenten.vn</a> để được hỗ trợ transfer.",1,MinhTH,,10/12/2018
chuyển domain qua tenten,chuyen_domain,"Để transfer tên miền từ nhà quản lý khác sang TenTen, Quý khách vui lòng yêu cầu nhà quản lý cũ cung cấp mã authecode của tên miền, đồng thời yêu cầu nhà quản lý cũ unlock, bỏ ẩn whois cho tên miền đó để TenTen tiến hành quá trình tranfer tên miền. Quý khách gửi thông tin tên miền đến email: <a href=""mailto:info@tenten.vn"">info@tenten.vn</a> để được hỗ trợ transfer.",,MinhTH,,10/12/2018
cần hỗ trợ chuyển tên miền qua tenten,chuyen_domain,"Để transfer tên miền từ nhà quản lý khác sang TenTen, Quý khách vui lòng yêu cầu nhà quản lý cũ cung cấp mã authecode của tên miền, đồng thời yêu cầu nhà quản lý cũ unlock, bỏ ẩn whois cho tên miền đó để TenTen tiến hành quá trình tranfer tên miền. Quý khách gửi thông tin tên miền đến email: <a href=""mailto:info@tenten.vn"">info@tenten.vn</a> để được hỗ trợ transfer.",,MinhTH,,10/12/2018
em có thể chuyển domain qua tenten được không?,chuyen_domain,"Để transfer tên miền từ nhà quản lý khác sang TenTen, Quý khách vui lòng yêu cầu nhà quản lý cũ cung cấp mã authecode của tên miền, đồng thời yêu cầu nhà quản lý cũ unlock, bỏ ẩn whois cho tên miền đó để TenTen tiến hành quá trình tranfer tên miền. Quý khách gửi thông tin tên miền đến email: <a href=""mailto:info@tenten.vn"">info@tenten.vn</a> để được hỗ trợ transfer.",,MinhTH,,10/12/2018
chuyển domain qua tenten như thế nào nhỉ?,chuyen_domain,"Để transfer tên miền từ nhà quản lý khác sang TenTen, Quý khách vui lòng yêu cầu nhà quản lý cũ cung cấp mã authecode của tên miền, đồng thời yêu cầu nhà quản lý cũ unlock, bỏ ẩn whois cho tên miền đó để TenTen tiến hành quá trình tranfer tên miền. Quý khách gửi thông tin tên miền đến email: <a href=""mailto:info@tenten.vn"">info@tenten.vn</a> để được hỗ trợ transfer.",,MinhTH,,10/12/2018
chuyển khoản ngân hàng vietcombank,chuyen_khoan,Quý khách có thể chuyển tiền thanh toán tài khoản VCB:\nChủ tài khoản: Công ty cổ phần GMO-Z.com RUNSYSTEM.\n+ Số tài khoản tại Ngân hàng Vietcombank - Sở giao dịch: 0011004049424,1,MinhTH,,10/12/2018
thông tin chuyển khoản qua ngân hàng Vietcombank,chuyen_khoan,Quý khách có thể chuyển tiền thanh toán tài khoản VCB:\nChủ tài khoản: Công ty cổ phần GMO-Z.com RUNSYSTEM.\n+ Số tài khoản tại Ngân hàng Vietcombank - Sở giao dịch: 0011004049424,,MinhTH,,10/12/2018
tôi cần thông tin chuyển khoản,chuyen_khoan,Quý khách có thể chuyển tiền thanh toán tài khoản VCB:\nChủ tài khoản: Công ty cổ phần GMO-Z.com RUNSYSTEM.\n+ Số tài khoản tại Ngân hàng Vietcombank - Sở giao dịch: 0011004049424,,MinhTH,,10/12/2018
Tôi chưa có thông tin chuyển khoản,chuyen_khoan,Quý khách có thể chuyển tiền thanh toán tài khoản VCB:\nChủ tài khoản: Công ty cổ phần GMO-Z.com RUNSYSTEM.\n+ Số tài khoản tại Ngân hàng Vietcombank - Sở giao dịch: 0011004049424,,MinhTH,,10/12/2018
Cần cung cấp thông tin chuyển khoản,chuyen_khoan,Quý khách có thể chuyển tiền thanh toán tài khoản VCB:\nChủ tài khoản: Công ty cổ phần GMO-Z.com RUNSYSTEM.\n+ Số tài khoản tại Ngân hàng Vietcombank - Sở giao dịch: 0011004049424,,MinhTH,,10/12/2018
Chuyển khoản qua ngân hàng nào vậy?,chuyen_khoan,Quý khách có thể chuyển tiền thanh toán tài khoản VCB:\nChủ tài khoản: Công ty cổ phần GMO-Z.com RUNSYSTEM.\n+ Số tài khoản tại Ngân hàng Vietcombank - Sở giao dịch: 0011004049424,,MinhTH,,10/12/2018
trainfer domain là gì,chuyen_ten_mien_transfer_domain_la_gi,"Transfer domain là hình thức đổi nơi quản lý tên miền từ nhà đăng ký này sang một nhà đăng ký khác.\n<a href=""https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi</a>",,TungHV,,11/12/2018
chuyển tên miền là gì,chuyen_ten_mien_transfer_domain_la_gi,"Transfer domain là hình thức đổi nơi quản lý tên miền từ nhà đăng ký này sang một nhà đăng ký khác.\n<a href=""https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi</a>",,TungHV,,11/12/2018
tham khảo thông tin chuyển tên miền ở đâu,chuyen_ten_mien_transfer_domain_la_gi,"Transfer domain là hình thức đổi nơi quản lý tên miền từ nhà đăng ký này sang một nhà đăng ký khác.\n<a href=""https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi</a>",,TungHV,,11/12/2018
bạn có thể giải thích về chuyển tên miền được không,chuyen_ten_mien_transfer_domain_la_gi,"Transfer domain là hình thức đổi nơi quản lý tên miền từ nhà đăng ký này sang một nhà đăng ký khác.\n<a href=""https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi</a>",,TungHV,,11/12/2018
Chuyển tên miền là gì?,chuyen_ten_mien_transfer_domain_la_gi,"Transfer domain là hình thức đổi nơi quản lý tên miền từ nhà đăng ký này sang một nhà đăng ký khác.\n<a href=""https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi</a>",1,TungHV,,11/12/2018
tranfer domain để làm gì hả bạn?,chuyen_ten_mien_transfer_domain_la_gi,"Transfer domain là hình thức đổi nơi quản lý tên miền từ nhà đăng ký này sang một nhà đăng ký khác.\n\n<a href=""https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi</a>",,Tunghv,,11/12/2018
bạn có thể tư vấn mình về chuyển tên miền được không,chuyen_ten_mien_transfer_domain_la_gi,"Transfer domain là hình thức đổi nơi quản lý tên miền từ nhà đăng ký này sang một nhà đăng ký khác.\n\n<a href=""https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi</a>",,Tunghv,,11/12/2018
mình có thể biết thêm thông tin về chuyển tên miền ở đâu,chuyen_ten_mien_transfer_domain_la_gi,"Transfer domain là hình thức đổi nơi quản lý tên miền từ nhà đăng ký này sang một nhà đăng ký khác.\n\n<a href=""https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi</a>",,Tunghv,,11/12/2018
mình không hiểu về chuyển tên miền bạn ạ,chuyen_ten_mien_transfer_domain_la_gi,"Transfer domain là hình thức đổi nơi quản lý tên miền từ nhà đăng ký này sang một nhà đăng ký khác.\n\n<a href=""https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi</a>",,Tunghv,,11/12/2018
Chuyển tên miền (Transfer domain) là gì?,chuyen_ten_mien_transfer_domain_la_gi,"Transfer domain là hình thức đổi nơi quản lý tên miền từ nhà đăng ký này sang một nhà đăng ký khác.\n\n<a href=""https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/26-chuye-n-ten-mie-n-transfer-domain-la-gi</a>",1,Tunghv,,11/12/2018
bạn gửi mình thông tin về các bước chuyển tên miền qua tenten được không ạ?,chuyen_ten_mien_ve_tenten_va_chi_phi_chuyen_ten_mien,"۞ Các bước để chuyển tên miền từ nhà đăng ký khác về TENTEN:\n1. Với tên miền quốc tế:\nB1: Quý khách cần kiểm tra các điều kiện để transfer:\n+ Tên miền phải được unlock\n+ Quý khách có Auth-info code\n+ Quý khách kiểm soát được email quản trị tên miền.\n+ Tên miền phải được đăng ký hoặc duy trì hơn 60 ngày\nB2: Đăng ký transfer với TENTEN\nB3: Kiểm tra email quản trị (trong mục admin khi...\n<a href=""https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuye-n-ten-mie-n-la-bao-nhieu"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuy</a>",,Tunghv,,10/12/2018
bạn có thể nói cho mình chi phí chuyển tên miền qua tenten được không?,chuyen_ten_mien_ve_tenten_va_chi_phi_chuyen_ten_mien,"۞ Các bước để chuyển tên miền từ nhà đăng ký khác về TENTEN:\n1. Với tên miền quốc tế:\nB1: Quý khách cần kiểm tra các điều kiện để transfer:\n+ Tên miền phải được unlock\n+ Quý khách có Auth-info code\n+ Quý khách kiểm soát được email quản trị tên miền.\n+ Tên miền phải được đăng ký hoặc duy trì hơn 60 ngày\nB2: Đăng ký transfer với TENTEN\nB3: Kiểm tra email quản trị (trong mục admin khi...\n<a href=""https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuye-n-ten-mie-n-la-bao-nhieu"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuy</a>",,Tunghv,,10/12/2018
hướng dẫn mình cách chuyển và chi phí chuyển tên miền về tenten được không bạn?,chuyen_ten_mien_ve_tenten_va_chi_phi_chuyen_ten_mien,"۞ Các bước để chuyển tên miền từ nhà đăng ký khác về TENTEN:\n1. Với tên miền quốc tế:\nB1: Quý khách cần kiểm tra các điều kiện để transfer:\n+ Tên miền phải được unlock\n+ Quý khách có Auth-info code\n+ Quý khách kiểm soát được email quản trị tên miền.\n+ Tên miền phải được đăng ký hoặc duy trì hơn 60 ngày\nB2: Đăng ký transfer với TENTEN\nB3: Kiểm tra email quản trị (trong mục admin khi...\n<a href=""https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuye-n-ten-mie-n-la-bao-nhieu"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuy</a>",,Tunghv,,10/12/2018
"tôi đang sử dụng tên miền ở nhà cung cấp khác, bây giờ muốn chuyển tên miền dùng của tenten thì làm thế nào hả bạn?",chuyen_ten_mien_ve_tenten_va_chi_phi_chuyen_ten_mien,"۞ Các bước để chuyển tên miền từ nhà đăng ký khác về TENTEN:\n1. Với tên miền quốc tế:\nB1: Quý khách cần kiểm tra các điều kiện để transfer:\n+ Tên miền phải được unlock\n+ Quý khách có Auth-info code\n+ Quý khách kiểm soát được email quản trị tên miền.\n+ Tên miền phải được đăng ký hoặc duy trì hơn 60 ngày\nB2: Đăng ký transfer với TENTEN\nB3: Kiểm tra email quản trị (trong mục admin khi...\n<a href=""https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuye-n-ten-mie-n-la-bao-nhieu"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuy</a>",,Tunghv,,10/12/2018
giúp mình các bước chuyển tên miền được không?,chuyen_ten_mien_ve_tenten_va_chi_phi_chuyen_ten_mien,"۞ Các bước để chuyển tên miền từ nhà đăng ký khác về TENTEN:\n1. Với tên miền quốc tế:\nB1: Quý khách cần kiểm tra các điều kiện để transfer:\n+ Tên miền phải được unlock\n+ Quý khách có Auth-info code\n+ Quý khách kiểm soát được email quản trị tên miền.\n+ Tên miền phải được đăng ký hoặc duy trì hơn 60 ngày\nB2: Đăng ký transfer với TENTEN\nB3: Kiểm tra email quản trị (trong mục admin khi...\n<a href=""https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuye-n-ten-mie-n-la-bao-nhieu"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuy</a>",,Manhbv,,
Làm thế nào để chuyển tên miền từ nhà đăng ký khác về TENTEN?,chuyen_ten_mien_ve_tenten_va_chi_phi_chuyen_ten_mien,"۞ Các bước để chuyển tên miền từ nhà đăng ký khác về TENTEN:\n1. Với tên miền quốc tế:\nB1: Quý khách cần kiểm tra các điều kiện để transfer:\n+ Tên miền phải được unlock\n+ Quý khách có Auth-info code\n+ Quý khách kiểm soát được email quản trị tên miền.\n+ Tên miền phải được đăng ký hoặc duy trì hơn 60 ngày\nB2: Đăng ký transfer với TENTEN\nB3: Kiểm tra email quản trị (trong mục admin khi...\n<a href=""https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuye-n-ten-mie-n-la-bao-nhieu"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuy</a>",,Manhbv,,
Chi phí chuyển tên miền là bao nhiêu?,chuyen_ten_mien_ve_tenten_va_chi_phi_chuyen_ten_mien,"۞ Các bước để chuyển tên miền từ nhà đăng ký khác về TENTEN:\n1. Với tên miền quốc tế:\nB1: Quý khách cần kiểm tra các điều kiện để transfer:\n+ Tên miền phải được unlock\n+ Quý khách có Auth-info code\n+ Quý khách kiểm soát được email quản trị tên miền.\n+ Tên miền phải được đăng ký hoặc duy trì hơn 60 ngày\nB2: Đăng ký transfer với TENTEN\nB3: Kiểm tra email quản trị (trong mục admin khi...\n<a href=""https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuye-n-ten-mie-n-la-bao-nhieu"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuy</a>",,Manhbv,,
muốn chuyển tên miền thì chi phí thế nào bạn nhỉ,chuyen_ten_mien_ve_tenten_va_chi_phi_chuyen_ten_mien,"۞ Các bước để chuyển tên miền từ nhà đăng ký khác về TENTEN:\n1. Với tên miền quốc tế:\nB1: Quý khách cần kiểm tra các điều kiện để transfer:\n+ Tên miền phải được unlock\n+ Quý khách có Auth-info code\n+ Quý khách kiểm soát được email quản trị tên miền.\n+ Tên miền phải được đăng ký hoặc duy trì hơn 60 ngày\nB2: Đăng ký transfer với TENTEN\nB3: Kiểm tra email quản trị (trong mục admin khi...\n<a href=""https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuye-n-ten-mie-n-la-bao-nhieu"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuy</a>",,Manhbv,,
Làm thế nào để chuyển tên miền từ nhà đăng ký khác về TENTEN?,chuyen_ten_mien_ve_tenten_va_chi_phi_chuyen_ten_mien,"۞ Các bước để chuyển tên miền từ nhà đăng ký khác về TENTEN:\n1. Với tên miền quốc tế:\nB1: Quý khách cần kiểm tra các điều kiện để transfer:\n+ Tên miền phải được unlock\n+ Quý khách có Auth-info code\n+ Quý khách kiểm soát được email quản trị tên miền.\n+ Tên miền phải được đăng ký hoặc duy trì hơn 60 ngày\nB2: Đăng ký transfer với TENTEN\nB3: Kiểm tra email quản trị (trong mục admin khi...\n<a href=""https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuye-n-ten-mie-n-la-bao-nhieu"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/37-la-m-the-na-o-de-chuye-n-ten-mie-n-tu-nha-dang-ky-kha-c-ve-tenten-chi-phi-chuy</a>",1,Tunghv,,10/12/2018
đăng kí cloud server,cloud_server,"cloud server <a href=""https://tenten.vn/cloud-server"" target=""_blank"">https://tenten.vn/cloud-server</a>",1,AnhNT92,,
cloud server,cloud_server,"cloud server <a href=""https://tenten.vn/cloud-server"" target=""_blank"">https://tenten.vn/cloud-server</a>",1,AnhNT92,,
bạn có thể gửi cho mình thêm thông tin về đăng kí cloud Server được không bạn,cloud_server,"cloud server <a href=""https://tenten.vn/cloud-server"" target=""_blank"">https://tenten.vn/cloud-server</a>",,Tunghv,,10/12/2018
định nghĩa cloud server,cloud_server,"cloud server <a href=""https://tenten.vn/cloud-server"" target=""_blank"">https://tenten.vn/cloud-server</a>",,Tunghv,,10/12/2018
cloud server là gì hả bạn?,cloud_server,"cloud server <a href=""https://tenten.vn/cloud-server"" target=""_blank"">https://tenten.vn/cloud-server</a>",,Tunghv,,10/12/2018
mình có thể tìm hiểu thêm thông tin về cloud VPS ở đâu?,cloud_vps,"Quý khách có thể tham khảo dịch vụ VPS - Cloud tại đây: <a href=""https://tenten.vn/cloud-server/seo-cloud-server"" target=""_blank"">https://tenten.vn/cloud-server/seo-cloud-server</a>",,Tunghv,,10/12/2018
nếu muốn đăng kí Cloud VPS mình phải làm như thế nào hả bạn,cloud_vps,"Quý khách có thể tham khảo dịch vụ VPS - Cloud tại đây: <a href=""https://tenten.vn/cloud-server/seo-cloud-server"" target=""_blank"">https://tenten.vn/cloud-server/seo-cloud-server</a>",,Tunghv,,10/12/2018
 Cloud VPS là gì hả bạn?,cloud_vps,"Quý khách có thể tham khảo dịch vụ VPS - Cloud tại đây: <a href=""https://tenten.vn/cloud-server/seo-cloud-server"" target=""_blank"">https://tenten.vn/cloud-server/seo-cloud-server</a>",,Tunghv,,10/12/2018
Cloud VPS,cloud_vps,"Quý khách có thể tham khảo dịch vụ VPS - Cloud tại đây: <a href=""https://tenten.vn/cloud-server/seo-cloud-server"" target=""_blank"">https://tenten.vn/cloud-server/seo-cloud-server</a>",1,Tunghv,,10/12/2018
tôi muốn hỏi về dịch vụ Cloud VPS,cloud_vps,"Quý khách có thể tham khảo dịch vụ VPS - Cloud tại đây: <a href=""https://tenten.vn/cloud-server/seo-cloud-server"" target=""_blank"">https://tenten.vn/cloud-server/seo-cloud-server</a>",,Manh,,
dịch vụ Cloud VPS bên bạn như thế nào,cloud_vps,"Quý khách có thể tham khảo dịch vụ VPS - Cloud tại đây: <a href=""https://tenten.vn/cloud-server/seo-cloud-server"" target=""_blank"">https://tenten.vn/cloud-server/seo-cloud-server</a>",,Manh,,
có ai trực ko,co_ai_truc_ko,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999(bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính)\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7)\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,1,AnhNT92,,
có bạn nào ở đó không,co_ai_truc_ko,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999(bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính)\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7)\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,,TungHV,,
hey,co_ai_truc_ko,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999(bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính)\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7)\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,,TungHV,,
cứu cứu,co_ai_truc_ko,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999(bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính)\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7)\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,,TungHV,,
hi,co_ai_truc_ko,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999(bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính)\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7)\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,,TungHV,,
có ai trực ko,co_ai_truc_ko,Để liên hệ kinh doanh vui lòng gọi điện thoại đến số: 024.7108.9999(bấm phím 3) hoặc email: info@tenten.vn (giờ hành chính)\nĐể liên hệ kỹ thuật vui lòng gọi điện thoại đến số: 024.73020.555 hoặc email: kythuat@tenten.vn (24/7)\nHoặc chọn phần livechat: Gặp nhân viên kinh doanh,1,TungHV,,
bạn có thể cho mình biết về giới hạn sử dụng không ạ,co_bi_gioi_han_su_dung_khong,"Tùy theo các điều khoản ,quy chế sử dụng, vẫn có trường hợp chúng tôi sẽ\ngiới hạn dịch vụ của khách hàng như tạm ngưng sử dụng dịch vụ v.v.\nXem thêm quy định sử dụng của Tenten tại đây\nhttps://tenten.vn/Support/usingPolicy\n\n<a href=""https://tenten.vn/faq/74-co-bi-gioi-han-su-dung-khong"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/74-co-bi-gioi-han-su-dung-khong</a>",,Tunghv,,11/12/2018
giới hạn sử dụng dịch vụ khi nào ạ,co_bi_gioi_han_su_dung_khong,"Tùy theo các điều khoản ,quy chế sử dụng, vẫn có trường hợp chúng tôi sẽ\ngiới hạn dịch vụ của khách hàng như tạm ngưng sử dụng dịch vụ v.v.\nXem thêm quy định sử dụng của Tenten tại đây\nhttps://tenten.vn/Support/usingPolicy\n\n<a href=""https://tenten.vn/faq/74-co-bi-gioi-han-su-dung-khong"" rel=""nofollow"" target=""_blank"">https://tenten.vn/faq/74-co-bi-gioi-han-su-dung-khong</a>",,Tunghv,,11/12/2018
